FY17 Rank,Station,FY17 Daily Boardings,FY17 Boardings,Jobs (.3 mi),Jobs (.5 mi),,lat,lon
83,Pico / Aliso Station,985,251210,,,,34.047634,-118.22594
84,Mariachi Plaza / Boyle Heights Station,853,217504,,,,34.047215,-118.219648
85,Douglas Station,840,214216,,,,33.905299,-118.383113
86,Southwest Museum Station,835,213015,,,,34.098243,-118.206712
87,Heritage Square / Arroyo Station,800,203924,,,,34.087227,-118.213213
88,Irwindale Station,764,194942,,,,34.129048,-117.932506
89,Duarte / City of Hope Station,745,189848,,,,34.132518,-117.96768
90,East LA Civic Center Station,641,163422,,,,34.033364,-118.161206
91,5th Street Station,591,150812,,,,33.773598,-118.189412
92,Maravilla Station,467,119123,,,,34.033319,-118.16814
93,1st Street Station,444,113175,,,,33.76874,-118.189362
